date,yearmonth,ma_id,fishbase_id,length_cm,count,lmax
2022-03-29,2022-03-01,69.0,121.0,95.76088525882236,1,104.0
2022-05-13,2022-05-01,69.0,4922.0,56.58993336165757,1,37.79999924
2022-03-25,2022-03-01,66.0,999999001.0,7.005472616378332,4,
2022-04-13,2022-04-01,71.0,111.0,25.0970542066532,10,25.0
2022-03-01,2022-03-01,71.0,4618.0,20.560170107752512,8,33.0
2022-05-23,2022-05-01,71.0,4618.0,19.53655014589941,7,33.0
2022-04-22,2022-04-01,81.0,1845.0,57.96201508718386,20,59.0
2022-03-15,2022-03-01,67.0,1863.0,16.240018577273403,24,21.60000038
2022-05-26,2022-05-01,67.0,111.0,23.680926241706327,60,25.0
2022-03-04,2022-03-01,142.0,4444.0,14.579183107979334,51,16.5
2022-05-25,2022-05-01,118.0,1845.0,41.4250735465516,9,59.0
2022-03-04,2022-03-01,92.0,93.0,25.379501958462246,8,
2022-03-03,2022-03-01,61.0,999999001.0,10.150438570894172,4,
2022-03-14,2022-03-01,61.0,999999001.0,15.087565088497103,3,
2022-04-21,2022-04-01,61.0,4456.0,20.27378065513939,57,40.0
2022-05-14,2022-05-01,61.0,999999001.0,13.387098609582392,3,
2022-03-26,2022-03-01,69.0,89.0,77.31346544676906,11,130.0
2022-05-12,2022-05-01,63.0,6454.0,45.04883587148999,1,40.59999847
2022-03-11,2022-03-01,66.0,999999001.0,9.933187629010902,7,
2022-03-21,2022-03-01,23.0,188.0,30.99353362826026,85,52.0
2022-03-25,2022-03-01,37.0,188.0,29.750967100274192,340,52.0
2022-05-17,2022-05-01,67.0,999999001.0,11.531546512715742,4,
2022-03-24,2022-03-01,19.0,71.0,23.221406143700953,49,62.71428571
2022-04-22,2022-04-01,61.0,4588.0,27.1805163852005,8,27.0
2022-03-16,2022-03-01,61.0,184.0,33.1599065256486,25,27.39999962
2022-03-16,2022-03-01,61.0,999999001.0,13.100573344311409,6,
2022-03-16,2022-03-01,61.0,1847.0,20.605941568226616,168,39.00000017
2022-04-28,2022-04-01,61.0,1863.0,20.629175873042364,12,21.60000038
2022-05-23,2022-05-01,61.0,1954.0,16.84702679877083,640,20.0
2022-04-25,2022-04-01,61.0,6661.0,46.62427063676873,2,36.29999924
